service_id,date,exception_type
10,20231123,2
13,20231123,1
16,20231123,2
19,20231123,1
22,20231123,2
25,20231123,1
28,20231123,2
31,20231123,1
40,20231123,2
43,20231123,1
46,20231123,2
49,20231123,1
52,20231123,2
55,20231123,1
10,20231225,2
13,20231225,1
16,20231225,2
19,20231225,1
22,20231225,2
25,20231225,1
28,20231225,2
31,20231225,1
40,20231225,2
43,20231225,1
46,20231225,2
49,20231225,1
52,20231225,2
55,20231225,1
10,20240101,2
13,20240101,1
16,20240101,2
19,20240101,1
22,20240101,2
25,20240101,1
28,20240101,2
31,20240101,1
40,20240101,2
43,20240101,1
46,20240101,2
49,20240101,1
52,20240101,2
55,20240101,1
10,20231124,2
11,20231124,1
16,20231124,2
17,20231124,1
22,20231124,2
23,20231124,1
28,20231124,2
29,20231124,1
40,20231124,2
41,20231124,1
46,20231124,2
47,20231124,1
52,20231124,2
53,20231124,1
10,20231226,2
11,20231226,1
16,20231226,2
17,20231226,1
22,20231226,2
23,20231226,1
28,20231226,2
29,20231226,1
40,20231226,2
41,20231226,1
46,20231226,2
47,20231226,1
52,20231226,2
53,20231226,1
10,20231227,2
11,20231227,1
16,20231227,2
17,20231227,1
22,20231227,2
23,20231227,1
28,20231227,2
29,20231227,1
40,20231227,2
41,20231227,1
46,20231227,2
47,20231227,1
52,20231227,2
53,20231227,1
10,20231228,2
11,20231228,1
16,20231228,2
17,20231228,1
22,20231228,2
23,20231228,1
28,20231228,2
29,20231228,1
40,20231228,2
41,20231228,1
46,20231228,2
47,20231228,1
52,20231228,2
53,20231228,1
10,20231229,2
11,20231229,1
16,20231229,2
17,20231229,1
22,20231229,2
23,20231229,1
28,20231229,2
29,20231229,1
40,20231229,2
41,20231229,1
46,20231229,2
47,20231229,1
52,20231229,2
53,20231229,1
10,20240115,2
11,20240115,1
16,20240115,2
17,20240115,1
22,20240115,2
23,20240115,1
28,20240115,2
29,20240115,1
40,20240115,2
41,20240115,1
46,20240115,2
47,20240115,1
52,20240115,2
53,20240115,1
10,20240219,2
11,20240219,1
16,20240219,2
17,20240219,1
22,20240219,2
23,20240219,1
28,20240219,2
29,20240219,1
40,20240219,2
41,20240219,1
46,20240219,2
47,20240219,1
52,20240219,2
53,20240219,1
